City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Khatanga,71.9667,102.5,-40.28,100,88,1.97
Arequipa,-16.3989,-71.535,16.04,25,0,3.09
Buala,-8.145,159.5921,26.13,91,100,3.33
Butaritari,3.0707,172.7902,28.07,78,34,8.15
Nikolskoye,59.7035,30.7861,-1.06,98,100,1.18
Itoman,26.1247,127.6694,18.21,56,75,6.17
St. George's,12.0564,-61.7485,26.82,74,75,8.75
Birao,10.2849,22.7882,20.66,24,99,4.52
Yulara,-25.2406,130.9889,41.91,9,4,2.57
Albany,42.6001,-73.9662,3.6,70,100,0.45
Chabahar,25.2919,60.643,19.25,44,99,1.33
Punta Arenas,-53.15,-70.9167,11.06,71,40,2.57
Arrondissement de Sens,48.1667,3.3333,1.77,90,0,3.68
Busselton,-33.65,115.3333,18.94,78,74,8.59
Chui,-33.6971,-53.4616,18.96,66,51,4.58
Beyneu,45.3167,55.2,4.22,67,100,5.4
Cabedelo,-6.9811,-34.8339,27.37,80,6,5.55
Oranjemund,-28.55,16.4333,17.35,83,49,7.11
Atuona,-9.8,-139.0333,25.66,71,10,4.76
Klaksvík,62.2266,-6.589,8.51,84,99,4.93
Cape Town,-33.9258,18.4232,17.93,70,0,1.34
Champerico,14.3,-91.9167,27.8,76,0,2.6
Dekar,-21.5333,21.9333,20.71,74,100,0.9
Saint Anthony,45.0205,-93.218,-6.86,73,90,1.34
Anloga,5.7947,0.8973,26.12,76,45,2.65
Skibbereen,51.55,-9.2667,7.89,78,100,7.22
Esperance,-33.8667,121.9,22.39,45,99,6.58
Mandalgovi,45.7625,106.2708,-12.97,53,17,6.76
Broome,42.2506,-75.833,3.14,74,1,0.89
Husavik,66.0449,-17.3389,1.95,97,100,4.27
Hilo,19.7297,-155.09,24.04,46,90,2.06
Saint George,37.1041,-113.5841,5.53,60,1,2.24
Minsk,53.9,27.5667,-1.14,78,99,3.9
Santa Ana,33.7456,-117.8678,16.29,53,1,0.0
Juba,4.8517,31.5825,24.78,54,99,1.21
Castro,-24.7911,-50.0119,17.76,94,83,4.68
Barrow,71.2906,-156.7887,-22.99,77,90,9.26
Carnarvon,-24.8667,113.6333,26.04,47,1,9.77
Bilibino,68.0546,166.4372,-37.85,100,83,1.19
Alabaster,33.2443,-86.8164,18.27,95,90,0.45
Lavrentiya,65.5833,-171.0,-14.53,93,100,4.49
Imbituba,-28.24,-48.6703,21.94,89,93,4.29
Doumé,4.2333,13.45,18.66,50,99,0.66
Narsaq,60.9167,-46.05,2.12,62,1,3.44
Dikson,73.5069,80.5464,-32.19,98,37,2.88
Henties Bay,-22.116,14.2845,17.7,91,0,2.3
Ixtapa,20.7,-105.2,23.57,83,1,0.0
Salalah,17.0151,54.0924,21.05,60,0,3.09
Lampa,-33.2833,-70.9,20.36,52,0,4.12
Soe,-9.8607,124.284,30.21,49,73,2.84
Saskylakh,71.9167,114.0833,-36.07,100,55,2.45
Nokaneng,-19.6667,22.2667,20.72,85,100,2.46
Mâncio Lima,-7.6142,-72.8958,23.04,98,100,0.56
Banff,51.1762,-115.5698,-11.43,72,92,4.63
Cabo San Lucas,22.8909,-109.9124,22.25,83,75,0.0
Lebu,-37.6167,-73.65,12.38,93,6,4.29
Kochubey,44.3861,46.5825,5.5,89,98,2.45
Haines Junction,60.7522,-137.5108,-26.03,76,100,1.03
Tasiilaq,65.6145,-37.6368,-2.91,76,53,3.03
Mombetsu,44.3525,143.3525,-5.08,53,40,7.72
Thompson,55.7435,-97.8558,-25.91,76,75,1.54
Swan River,52.1058,-101.2676,-27.06,83,94,1.03
Mar del Plata,-38.0023,-57.5575,20.61,85,0,2.68
Agadez,19.75,10.25,11.95,38,0,4.53
Chokurdakh,70.6333,147.9167,-38.89,100,77,2.53
Port Elizabeth,-33.918,25.5701,16.16,77,0,7.72
Ouro Preto,-20.3948,-43.5052,16.95,98,100,0.54
Iqaluit,63.7506,-68.5145,-1.15,92,90,10.28
Petropavlovsk-Kamchatskiy,53.0452,158.6483,-8.67,57,75,6.0
Bud,39.447,-86.1758,4.61,96,100,3.57
Kosa,59.9445,54.9977,-5.61,97,100,2.28
Cherskiy,68.75,161.3,-34.71,100,92,2.69
San Quintín,30.4833,-115.95,13.8,73,17,2.55
Torbay,47.6666,-52.7314,4.04,96,90,5.66
Saint-Philippe,-21.3585,55.7679,27.49,73,7,0.84
Upernavik,72.7868,-56.1549,-10.31,58,100,3.48
Nemuro,43.3236,145.575,-4.76,64,100,14.74
Tekeli,44.83,78.8239,-2.18,54,30,5.28
Pangnirtung,66.1451,-65.7125,-3.41,77,100,9.53
Dzhebariki-Khaya,62.2167,135.8,-40.03,96,94,0.35
Provincia di Imperia,43.9667,7.7833,7.77,80,0,2.91
Bambous Virieux,-20.3428,57.7575,27.9,88,40,1.03
Mwene-Ditu,-7.0,23.45,17.93,98,100,1.5
Mt. Pleasant,32.7941,-79.8626,18.89,96,100,0.45
Flinders,-34.5833,150.8552,35.45,60,100,4.7
Ndélé,8.4109,20.6473,21.02,27,18,1.97
Hirara,24.8,125.2833,17.92,63,75,5.14
Ponta do Sol,32.6667,-17.1,18.35,70,9,5.76
Phan Thiet,10.9333,108.1,26.78,66,98,0.17
Hithadhoo,-0.6,73.0833,28.0,73,100,2.64
Hayden,47.766,-116.7866,-6.09,87,75,3.09
Rocha,-34.4833,-54.3333,13.53,93,4,2.38
Fortuna,40.5982,-124.1573,5.18,73,1,2.57
San Cristobal,7.7669,-72.225,19.1,92,100,0.46
Ilo,-17.6394,-71.3375,19.58,81,54,2.69
Abalak,58.1286,68.5944,-17.12,98,100,1.2
Tiksi,71.6872,128.8694,-31.06,100,100,1.39
East London,-33.0153,27.9116,13.52,94,20,2.06
Comodoro Rivadavia,-45.8667,-67.5,17.92,77,0,5.66
Airai,-8.9266,125.4092,26.23,46,57,0.51
Kavieng,-2.5744,150.7967,28.91,73,87,1.86
São Miguel do Araguaia,-13.275,-50.1628,22.3,95,98,1.35
Kruisfontein,-34.0033,24.7314,13.27,85,0,4.69
Kiomboi,-4.2667,34.3667,17.63,80,88,0.4
Ketchikan,55.3422,-131.6461,0.26,86,90,2.57
Kuching,1.55,110.3333,29.12,79,40,2.06
Namatanai,-3.6667,152.4333,28.8,75,62,2.91
Póvoa de Varzim,41.3834,-8.7636,9.26,66,0,5.14
Mzimba,-11.9,33.6,17.63,95,100,1.19
Bathsheba,13.2167,-59.5167,26.34,73,20,13.89
Broken Hill,-31.95,141.4333,40.54,12,24,6.99
Portland,45.5234,-122.6762,6.44,87,90,0.89
Constitución,-35.3333,-72.4167,11.97,88,1,5.04
Umba,66.6871,34.3429,-4.75,95,100,3.4
Swift Current,50.2834,-107.8014,-26.55,76,1,4.12
Faanui,-16.4833,-151.75,27.46,71,18,7.36
Honiara,-9.4333,159.95,26.83,89,100,1.03
Arman',59.7,150.1667,-14.99,84,100,5.56
Brigantine,39.4101,-74.3646,11.11,42,90,2.06
Golden,39.7555,-105.2211,0.71,37,20,2.68
Westport,41.1415,-73.3579,10.86,41,1,0.89
Cidreira,-30.1811,-50.2056,21.22,80,44,6.29
Port Shepstone,-30.7414,30.455,16.79,75,100,1.82
Tanete,-3.9443,119.7848,32.02,63,90,2.53
Águia Branca,-18.9831,-40.7403,22.97,92,100,1.07
George Town,5.4112,100.3354,24.97,93,40,4.12
Rosarito,32.3333,-117.0333,14.49,49,0,3.48
Rognan,67.0953,15.3878,6.08,90,100,10.74
Redcliffe,-27.2307,153.0973,31.38,61,20,5.66
Humberto de Campos,-2.5983,-43.4611,25.76,85,48,2.37
Paita,-5.0892,-81.1144,20.17,83,73,5.73
Kontagora,10.3999,5.4695,19.2,24,24,2.66
Marsh Harbour,26.5412,-77.0636,24.83,71,3,7.15
Iquitos,-3.7481,-73.2472,24.02,94,75,0.0
Merauke,-8.4667,140.3333,23.37,90,100,4.19
Tuatapere,-46.1333,167.6833,14.34,49,91,5.97
Donskoye,45.4552,41.9741,7.01,92,100,2.12
Bac Lieu,9.285,105.7244,27.4,72,66,2.17
New Norfolk,-42.7826,147.0587,29.72,30,44,3.13
Palm Beach,26.6503,-80.4498,26.0,86,100,2.49
Yantongshan,43.2919,126.0094,-12.15,67,100,3.79
Codrington,-38.2667,141.9667,21.76,52,26,6.56
Avarua,-21.2078,-159.775,29.03,70,20,4.63
Coffs Harbour,-30.3,153.1333,26.98,65,11,9.26
Kralendijk,12.15,-68.2667,25.99,83,20,6.17
Saint Paul Harbor,57.79,-152.4072,-2.27,74,90,2.06
Warragul,-38.1667,145.9333,30.95,59,45,5.81
Soyo,-6.1349,12.3689,23.07,89,100,2.16
Alexandria,31.2156,29.9553,14.65,64,4,8.45
Impfondo,1.6381,18.0667,21.82,75,4,1.24
Najrān,17.4924,44.1277,10.36,37,3,1.56
Zhangjiakou,40.81,114.8794,-5.9,36,0,8.79
Amapá,1.0,-52.0,22.29,99,100,1.05
Lompoc,34.6391,-120.4579,12.18,87,1,1.54
Çay,38.5917,31.0286,-1.45,90,100,1.5
Kidal,18.4411,1.4078,18.71,20,64,5.15
Vardø,70.3705,31.1107,-0.52,89,100,8.89
Vilyuysk,63.7553,121.6247,-36.51,99,100,0.94
Buta,2.7858,24.73,21.04,89,70,0.7
Stony Plain,53.5334,-114.0021,-20.19,81,1,2.57
Jacareacanga,-6.2222,-57.7528,24.05,95,100,0.49
Vila Velha,-20.3297,-40.2925,24.97,91,75,2.06
Indramayu,-6.3264,108.32,27.81,73,100,2.38
Aklavik,68.2191,-135.0107,-26.54,98,100,1.07
Havøysund,70.9963,24.6622,3.49,87,100,9.78
Nizhnekamsk,55.6366,51.8245,-1.56,100,90,2.0
Kawalu,-7.3817,108.2082,26.82,76,100,0.44
Rovaniemi,66.5,25.7167,-4.33,93,90,2.57
Bundaberg,-24.85,152.35,30.16,48,40,6.69
Prestea,5.4327,-2.1428,24.07,94,10,0.34
Kindu,-2.95,25.95,20.2,99,100,1.73
Saldanha,-33.0117,17.9442,19.03,54,0,4.96
Ampanihy,-24.7,44.75,22.45,91,59,1.5
Naze,28.3667,129.4833,13.51,61,92,7.82
Gimli,50.6336,-96.9907,-15.32,78,100,2.57
Moree,-29.4667,149.85,35.01,31,98,4.12
Basco,20.4487,121.9702,22.37,76,100,17.38
Bantou,26.2151,117.4893,14.69,52,45,1.87
Pacific Grove,36.6177,-121.9166,9.82,80,1,1.34
Cascais,38.6979,-9.4215,12.25,66,100,0.45
Osinki,52.8432,49.5132,-1.42,99,100,1.91
Constantine,36.365,6.6147,1.67,86,0,0.0
Vostok,46.4856,135.8833,-22.39,86,100,2.55
Sola,-13.8833,167.55,27.53,69,32,5.63
Puerto Ayacucho,5.6639,-67.6236,25.91,73,100,2.0
Okhotsk,59.3833,143.3,-19.57,97,100,5.03
Llano de Piedra,7.6667,-80.5667,25.5,99,99,0.81
San Vicente,-26.6167,-54.1333,21.67,47,0,2.74
Ciudad Real,39.0,-4.0,3.97,94,92,0.45
Vestmannaeyjar,63.4427,-20.2734,8.56,93,100,4.72
San Patricio,28.017,-97.5169,23.92,85,100,6.96
Adwa,14.1646,38.8955,14.23,60,100,1.44
Manono,-7.3,27.4167,19.97,99,100,1.29
Port-Gentil,-0.7193,8.7815,25.71,88,96,3.86
Vaitape,-16.5167,-151.75,27.45,71,17,7.43
Sitka,57.0531,-135.33,2.94,70,90,1.54
Ostrovnoy,68.0531,39.5131,-9.76,93,61,4.68
Sazonovo,59.0919,35.2268,-5.15,95,100,2.41
Zelenogorskiy,55.0333,87.0,-2.71,96,100,4.75
Cockburn Town,21.4612,-71.1419,26.53,75,0,11.5
Muros,42.7762,-9.0603,11.58,70,0,2.16
Vitória,-20.3194,-40.3378,24.92,91,75,2.06
Bonthe,7.5264,-12.505,26.39,84,91,0.26
Altinópolis,-21.0256,-47.3739,20.64,95,100,0.95
Douentza,14.9951,-2.9517,22.37,17,94,1.74
Hamilton,39.1834,-84.5333,5.76,93,90,0.89
Kavaratti,10.5669,72.642,28.12,68,83,5.33
Raudeberg,61.9875,5.1352,9.0,96,100,2.68
Grindavik,63.8424,-22.4338,5.5,100,90,3.6
Kimbe,-5.5502,150.1429,28.6,82,100,1.94
Dalbandin,28.8947,64.4101,7.09,14,0,2.15
Kamyshin,50.0983,45.416,0.44,100,100,2.14
Cartagena,10.3997,-75.5144,25.79,89,40,1.54
Kamsack,51.5667,-101.9009,-21.75,100,86,1.18
Conceição do Araguaia,-8.2578,-49.2647,24.27,91,100,0.75
Baruun-Urt,46.6806,113.2792,-15.76,73,5,4.3
Pasvalys,56.0594,24.4036,1.62,95,84,3.7
Padang,-0.9492,100.3543,23.03,98,100,4.49
Talnakh,69.4865,88.3972,-36.55,95,22,1.55
Wanaka,-44.7,169.15,22.84,29,75,1.34
Mahébourg,-20.4081,57.7,27.92,88,40,1.03
Khetri,27.9833,75.8,10.0,33,0,1.66
Isla Vista,34.4133,-119.861,14.9,78,1,0.0
Centralia,46.7162,-122.9543,5.42,85,90,0.0
Port Hedland,-20.3167,118.5667,42.03,12,1,5.14
Scottsbluff,41.8666,-103.6672,-6.87,59,90,4.02
Sovetskiy,61.3614,63.5842,-16.46,94,100,1.89
Calama,-22.4667,-68.9333,13.27,26,58,2.57
Ahipara,-35.1667,173.1667,20.06,54,7,5.49
Morant Bay,17.8815,-76.4093,27.79,80,26,5.15
Praia da Vitória,38.7333,-27.0667,13.2,93,40,4.08
Portobelo,9.55,-79.65,26.01,89,100,5.76
Chýnov,49.4068,14.8112,2.21,85,97,4.94
Jalu,29.0331,21.5482,10.4,86,4,3.93
Ancud,-41.8697,-73.8203,13.01,91,100,1.98
San Pedro de Macorís,18.4616,-69.2972,24.34,90,1,5.11
Sur,22.5667,59.5289,19.87,69,96,1.04
Dwārka,22.2394,68.9678,19.86,46,0,7.24
Chato,-2.6378,31.7669,18.86,95,100,3.63
Ruidoso,33.3317,-105.673,7.06,47,1,2.06
Avera,33.194,-82.5271,16.93,91,100,0.58
Kushiro,42.975,144.3747,-3.47,54,40,5.14
Mount Gambier,-37.8333,140.7667,23.71,39,34,4.07
Aginskoye,51.1,114.53,-12.66,77,83,4.5
Xining,36.6167,101.7667,-6.97,50,86,1.05
Tondano,1.3038,124.9112,28.05,62,58,1.33
Nadym,65.5333,72.5167,-37.57,99,8,2.26
Poum,-20.2333,164.0167,25.9,69,23,5.47
Novotroitsk,51.203,58.3266,-2.61,98,100,0.8
Hasaki,35.7333,140.8333,7.38,35,2,11.15
Praia,14.9215,-23.5087,23.3,83,75,5.14
Caravelas,-17.7125,-39.2481,24.99,85,100,3.57
Oil City,41.4339,-79.7064,2.94,73,90,0.45
Malampaka,-3.1333,33.5333,18.78,86,100,1.36
Balc,47.2833,22.5333,-0.21,91,70,3.75
Severo-Kuril'sk,50.6789,156.125,-1.91,70,100,6.81
Ilulissat,69.2167,-51.1,-4.99,36,100,6.69
Norman Wells,65.282,-126.8329,-25.98,70,90,2.57
Châtellerault,46.8,0.5333,2.94,53,0,4.51
Plettenberg Bay,-34.0527,23.3716,13.47,72,1,3.9
Molina,-35.1167,-71.2833,18.85,55,0,2.57
Abhā,18.2164,42.5053,8.14,66,0,0.0
Nanyang,32.9947,112.5328,5.66,25,5,3.83
Xincheng,33.6333,115.1833,5.28,23,74,5.4
Puerto Escondido,15.85,-97.0667,27.46,69,1,1.54
Vao,-22.6667,167.4833,24.14,72,30,9.53
Antalaha,-14.9003,50.2788,23.57,86,14,1.59
Adrar,20.5022,-10.0711,21.33,43,98,2.59
Gizo Government Station,-8.103,156.8419,27.09,83,100,2.83
Wrocław,51.1,17.0333,5.28,89,90,0.89
Huacho,-11.1067,-77.605,19.71,85,19,4.48
Kaabong,3.4836,34.1492,19.62,57,96,5.09
Bethel,41.3712,-73.414,9.16,51,79,1.81
Leh,34.1667,77.5833,-19.68,56,0,1.74
Qaanaaq,77.484,-69.3632,-25.23,91,70,3.27
Mbaïki,3.8678,17.9892,21.05,43,25,1.04
Helong,42.5397,128.9972,-7.97,33,9,3.54
Gazoros,41.0167,23.7667,5.66,76,100,1.47
Pevek,69.7008,170.3133,-23.01,97,100,1.7
Bilma,18.6853,12.9164,12.99,42,2,4.9
Gao,16.6362,1.637,18.7,21,56,5.65
Banda Aceh,5.5577,95.3222,25.65,85,100,4.31
Yar-Sale,66.8333,70.8333,-33.18,99,37,2.44
Okahandja,-21.9833,16.9167,19.17,27,65,0.54
Rumonge,-3.9736,29.4386,21.71,88,100,0.89
Angoche,-16.2325,39.9086,24.73,82,95,2.36
Andros,37.8333,24.9333,9.31,74,100,4.92
Adré,13.4667,22.2,15.45,32,24,6.83
Trairi,-3.2778,-39.2689,27.21,77,64,6.01
Waipawa,-41.4122,175.5153,19.35,54,10,1.45
Leningradskiy,69.3833,178.4167,-27.48,98,99,0.78
Tigzirt,36.8886,4.1198,12.19,50,91,2.17
Guerrero Negro,27.9769,-114.0611,16.87,64,5,5.55
Kiruna,67.8557,20.2251,2.51,81,90,8.75
Matam,15.6175,-13.3303,24.0,43,0,1.03
Havre-St-Pierre,50.2334,-63.5986,1.0,64,90,12.35
Beaumont,30.0861,-94.1019,22.02,94,90,2.57
Río Gallegos,-51.6226,-69.2181,13.03,76,0,3.09
Terrell,32.736,-96.2753,23.2,84,75,1.54
San Policarpo,12.1791,125.5072,28.18,84,100,4.15
Urubamba,-13.3047,-72.1158,16.5,85,100,2.28
Arrondissement de Clermont,49.5,2.4167,5.01,94,0,4.04
Rome,43.2128,-75.4557,2.69,87,100,0.45
Asău,46.4333,26.4,1.53,95,99,3.02
Zyryanka,65.75,150.85,-39.44,99,95,2.99
Krasnogorskiy,54.6025,61.231,-10.84,96,66,1.37
Egvekinot,66.3167,-179.1667,-28.2,88,35,5.97
Palmer,42.1584,-72.3287,7.23,50,20,4.63
Bose,45.4612,8.0137,6.64,83,0,1.72
Knysna,-34.0363,23.0471,11.21,74,1,3.38
Kushima,31.4583,131.2333,8.35,45,0,3.97
Ipoti,7.8738,5.0769,18.95,33,71,1.41
Pangkalanbuun,-2.6833,111.6167,29.6,68,100,1.73
Amantea,39.1332,16.0746,12.97,65,38,3.74
Dawei,14.0833,98.2,29.73,49,100,4.99
Mwense,-10.3845,28.698,18.65,99,100,0.62
Paranhos,-23.8928,-55.4311,27.31,57,83,1.46
Richmond,37.5538,-77.4603,17.35,74,90,0.45
Guiratinga,-16.3494,-53.7583,22.27,93,100,0.64
Salinópolis,-0.6136,-47.3561,27.27,79,100,4.82
Luanda,-8.8368,13.2343,24.0,88,75,1.54
Lagoa,39.05,-27.9833,15.35,55,100,5.53
Fengcheng,40.4536,124.0717,-6.39,35,82,1.72
Linjiang,41.8069,126.9078,-10.83,56,100,1.43
Harper,4.375,-7.7169,26.43,84,4,4.21
Dukat,62.55,155.55,-32.42,96,100,1.42
Smalininkai,55.0735,22.5793,0.4,96,32,2.56
Hervey Bay,-25.2986,152.8535,30.06,56,45,2.68
Luoyang,34.6836,112.4536,5.26,24,100,6.49
Kumul,42.8,93.45,-4.38,53,0,2.05
Isangel,-19.55,169.2667,26.06,94,90,0.0
Amga,60.8953,131.9608,-29.51,94,100,0.42
Charters Towers,-20.1,146.2667,33.96,22,0,6.4
Kyshtovka,56.555,76.6271,-9.98,97,100,2.49
Hofn,64.2539,-15.2082,6.6,93,100,2.29
Sorgun,39.8101,35.186,-1.83,96,51,1.12
Ürümqi,43.801,87.6005,-12.47,85,90,2.0
Kropotkin,45.4375,40.5756,5.81,95,100,2.39
Umm Kaddadah,13.6017,26.6876,14.62,32,53,6.62
Sennar,13.5691,33.5672,20.34,35,42,6.05
Shingū,33.7333,135.9833,6.55,48,39,5.92
Buenos Aires,-34.6132,-58.3772,23.31,80,0,8.75
Rubizhne,49.0123,38.3797,0.7,96,100,4.53
Mitú,1.1983,-70.1733,22.82,99,100,0.98
Faya,18.3851,42.4509,8.29,75,9,1.33
Saint-Augustin,51.226,-58.6502,-0.92,98,100,3.37
Lorengau,-2.0226,147.2712,25.47,92,100,4.26
Honningsvåg,70.9821,25.9704,4.2,88,100,9.91
Clyde,41.3042,-82.9752,4.74,81,100,2.68
Takoradze,4.8845,-1.7554,26.68,82,9,3.44
Fécamp,49.7579,0.3746,6.42,90,0,5.78
Coquimbo,-29.9533,-71.3436,15.85,82,0,1.54
Alofi,-19.0595,-169.9187,28.94,74,28,5.14
Gorgan,36.8387,54.4348,15.31,28,4,2.9
Ochakiv,46.6128,31.5498,3.08,80,100,7.67
Nome,64.5011,-165.4064,-1.58,93,90,3.6
Bajil,15.0584,43.2851,22.98,71,14,1.66
Albertville,34.2676,-86.2089,17.07,79,90,0.45
Eureka,40.8021,-124.1637,5.32,76,46,1.88
Along,28.1667,94.7667,16.94,38,17,0.24
Santa Lucía,27.9117,-15.5407,11.62,36,0,1.03
Téra,14.0078,0.7531,20.7,18,92,3.73
Ciudad Bolivar,8.1222,-63.5497,24.81,80,94,4.07
Lewiston,44.1003,-70.2148,5.18,59,1,6.17
Mount Isa,-20.7333,139.5,37.87,28,40,4.12
Lokoja,7.8024,6.743,22.41,31,87,0.9
Bol,13.4586,14.7147,18.84,42,1,8.42
Taoudenni,22.6783,-3.9836,25.04,21,98,3.73
Porirua,-41.1333,174.85,20.68,58,4,5.14
Pakokku,21.3333,95.1,21.06,55,0,2.89
Prado,-17.3411,-39.2208,24.38,89,100,3.88
Chiredzi,-21.05,31.6667,16.8,87,100,4.57
Pierre,44.3683,-100.351,-6.19,73,90,1.34
Beba,22.4437,-79.7253,23.15,88,58,4.63
Nabire,-3.3667,135.4833,30.61,64,93,2.02
Fuerte Olimpo,-21.0415,-57.8738,25.0,87,100,1.59
Lüderitz,-26.6481,15.1594,15.61,93,74,5.99
Kleive,62.7954,7.6359,8.84,100,90,12.86
Inhambane,-23.865,35.3833,22.16,60,100,7.96
Bandar-e Anzali,37.4727,49.4622,11.06,78,57,2.9
The Valley,18.217,-63.0578,26.17,78,20,5.66
Fatehābād,29.5167,75.45,9.34,34,0,2.45
Tarsus,36.9188,34.8784,9.93,87,60,2.38
Mahon,39.8885,4.2658,8.31,93,0,3.6
Nishihara,26.1842,127.7558,17.81,57,75,5.66
Paignton,50.4357,-3.5679,9.72,90,99,4.92
Moa,20.6569,-74.9403,25.03,82,24,6.44
Koboko,3.4136,30.9599,21.11,57,100,1.16
Heihe,50.2441,127.4902,-18.67,70,38,1.17
Albanel,48.8832,-72.4487,-5.92,63,84,8.23
Havelock,34.8791,-76.9013,18.85,92,20,0.45
Porbandar,21.6422,69.6093,16.99,48,0,5.14
Lázaro Cárdenas,17.9583,-102.2,24.96,79,100,1.75
Qaqortoq,60.7167,-46.0333,2.28,64,2,3.18
Kilindoni,-7.9139,39.6668,26.89,78,70,2.16
Bereda,43.2686,-7.5406,2.71,88,0,0.74
Tomarovka,50.6834,36.2331,0.42,94,100,5.53
Caraí,-17.1889,-41.6947,19.09,96,99,0.31
Opuwo,-18.0607,13.84,18.02,44,4,1.04
Grand Gaube,-20.0064,57.6608,27.99,69,11,0.89
Port Lincoln,-34.7333,135.8667,22.45,50,4,0.59
Władysławowo,54.7909,18.4009,3.85,86,36,4.89
Holme,56.1138,10.1725,7.02,95,60,5.25
Homestead,25.4687,-80.4776,26.01,88,75,1.79
Sorong,-0.8833,131.25,29.18,75,8,4.18
Banikoara,11.2985,2.4386,20.35,20,49,2.7
San Juan,-31.5375,-68.5364,29.29,36,17,8.88
Opportunity,47.6499,-117.2399,-5.57,80,90,0.0
Boende,-0.2167,20.8667,21.11,95,94,0.82
Hambantota,6.1241,81.1185,27.19,94,75,1.03
Čečava,44.6867,17.7706,3.43,86,99,2.72
Marzuq,14.4,46.4667,14.34,77,0,1.74
Farafangana,-22.8167,47.8333,24.29,82,25,3.17
Verkhoyansk,67.5447,133.385,-34.3,96,100,0.47
Caetité,-14.0694,-42.475,18.78,93,80,2.12
Tessalit,20.1986,1.0114,18.57,20,54,4.87
Lukovit,43.2,24.1667,1.7,82,91,3.28
Sipe Sipe,-17.45,-66.3833,14.27,82,100,1.02
Kikwit,-5.041,18.8162,19.97,98,99,1.03
Jiaozuo,35.2397,113.2331,7.29,20,100,6.55
Road Town,18.4167,-64.6167,26.05,73,0,11.37
Talara,-4.5772,-81.2719,20.19,86,83,6.47
Tonoshō,34.4833,134.1833,7.34,52,44,8.86
Bāfq,31.6128,55.4107,13.01,38,59,4.87
Arrifes,37.7667,-25.7,12.35,67,20,2.57
Chitral,35.8462,71.7858,-2.15,23,0,3.49
Turukhansk,65.8167,87.9833,-37.14,93,21,2.66
Coahuayana Viejo,18.7333,-103.6833,26.71,91,89,1.03
Saint-Michel-des-Saints,46.6834,-73.9159,-5.04,73,67,4.46
Teknāf,20.8624,92.3058,21.43,58,2,1.8
Mayskiy,47.6931,40.1025,1.67,95,100,2.03
Beyla,8.6833,-8.6333,20.55,25,93,0.76
Tazovsky,67.4667,78.7,-35.75,100,95,2.22
